Vernier Format 2
chassis.txt 4/26/2022 16:46:37
Run 1
Time	Current	Potential	
T	C	P	
s	A	V	

0.0	0.0006	8.673	
0.1	0.0000	8.698	
0.2	0.0000	8.702	
0.3	0.0000	8.698	
0.4	0.0000	8.698	
0.5	-0.0003	8.698	
0.6	-0.0003	8.693	
0.7	0.0000	8.693	
0.8	0.0000	8.698	
0.9	0.0000	8.702	
1.0	0.0000	8.707	
1.1	0.0000	8.707	
1.2	-0.0003	8.693	
1.3	-0.0003	8.698	
1.4	0.0000	8.693	
1.5	-0.0003	8.698	
1.6	0.0000	8.698	
1.7	0.0000	8.702	
1.8	0.0000	8.702	
1.9	0.0000	8.702	
2.0	-0.0003	8.693	
2.1	0.0000	8.693	
2.2	-0.0003	8.698	
2.3	-0.0003	8.698	
2.4	0.0000	8.707	
2.5	-0.0003	8.698	
2.6	-0.0003	8.698	
2.7	0.0000	8.693	
2.8	-0.0003	8.702	
2.9	0.0000	8.707	
3.0	0.0000	8.707	
3.1	-0.0003	8.698	
3.2	0.0000	8.688	
3.3	-0.0003	8.698	
3.4	-0.0003	8.702	
3.5	0.0000	8.707	
3.6	0.1215	0.893	
3.7	0.1253	0.370	
3.8	0.1496	0.399	
3.9	0.2159	0.649	
4.0	0.2876	1.377	
4.1	0.3760	1.901	
4.2	0.4844	1.226	
4.3	0.4847	2.111	
4.4	0.5259	2.238	
4.5	0.5878	2.101	
4.6	0.6093	2.336	
4.7	0.5645	3.015	
4.8	0.5517	3.363	
4.9	0.6252	2.893	
5.0	0.5530	3.597	
5.1	0.6203	3.250	
5.2	0.6156	3.426	
5.3	0.6262	3.157	
5.4	-0.0003	9.998	
5.5	-0.0003	9.998	
5.6	-0.0003	9.988	
5.7	-0.0003	9.925	
5.8	-0.0003	9.837	
5.9	-0.0003	9.744	
6.0	0.0000	9.685	
6.1	0.0000	9.607	
6.2	-0.0003	9.534	
6.3	0.0000	9.485	
6.4	-0.0003	9.417	
6.5	-0.0003	9.367	
6.6	0.0000	9.323	
6.7	0.0000	9.270	
6.8	-0.0003	9.245	
6.9	-0.0003	9.201	
7.0	0.0000	9.177	
7.1	-0.0003	9.147	
7.2	-0.0003	9.103	
7.3	-0.0003	9.099	
7.4	0.0000	9.059	
7.5	-0.0003	9.045	
7.6	-0.0003	9.020	
7.7	0.0000	9.006	
7.8	0.0000	8.986	
7.9	-0.0003	8.961	
8.0	0.0000	8.952	
8.1	0.0000	8.918	
8.2	0.0000	8.922	
8.3	0.0000	8.893	
8.4	0.0000	8.888	
8.5	-0.0003	8.869	
8.6	0.0000	8.864	
8.7	0.0000	8.844	
8.8	-0.0003	8.835	
8.9	0.0000	8.825	
9.0	0.0000	8.815	
9.1	-0.0003	8.800	
9.2	0.0000	8.791	
9.3	0.0000	8.781	
9.4	-0.0003	8.761	
9.5	0.0000	8.751	
9.6	-0.0003	8.737	
9.7	0.0000	8.732	
9.8	-0.0003	8.727	
9.9	-0.0003	8.712	
10.0	-0.0003	8.702	
10.1	-0.0003	8.693	
10.2	-0.0003	8.688	
10.3	-0.0003	8.673	
10.4	-0.0003	8.673	
10.5	0.0000	8.649	
10.6	0.0000	8.654	
10.7	-0.0003	8.634	
10.8	0.0000	8.634	
10.9	-0.0003	8.629	
11.0	0.0000	8.619	
11.1	0.0000	8.619	
11.2	-0.0003	8.600	
11.3	0.0000	8.605	
11.4	0.0000	8.595	
11.5	-0.0003	8.585	
11.6	0.0000	8.590	
11.7	0.0000	8.566	
11.8	0.0000	8.575	
11.9	0.0000	8.566	
12.0	-0.0003	8.551	
12.1	0.0000	8.556	
12.2	-0.0003	8.536	
12.3	0.0000	8.541	
12.4	-0.0003	8.536	
12.5	0.0000	8.526	
12.6	-0.0003	8.526	
12.7	0.0000	8.507	
12.8	0.0000	8.517	
12.9	0.0000	8.502	
13.0	-0.0003	8.502	
13.1	0.0000	8.497	
13.2	0.0000	8.482	
13.3	0.0000	8.492	
13.4	-0.0003	8.482	
13.5	0.0000	8.473	
13.6	0.0000	8.477	
13.7	0.0000	8.458	
13.8	0.0000	8.463	
13.9	0.0000	8.463	
14.0	-0.0003	8.458	
14.1	0.0000	8.458	
14.2	-0.0003	8.443	
14.3	0.0000	8.453	
14.4	0.0000	8.448	
14.5	0.0000	8.438	
14.6	-0.0003	8.443	
14.7	0.0000	8.429	
14.8	-0.0003	8.434	
14.9	0.0000	8.434	
15.0	0.0000	8.419	
15.1	0.0000	8.434	
15.2	0.0000	8.424	
15.3	-0.0003	8.419	
15.4	-0.0003	8.424	
15.5	-0.0003	8.414	
15.6	0.0000	8.414	
15.7	0.0000	8.419	
15.8	0.0000	8.404	
15.9	0.0000	8.414	
16.0	0.0000	8.419	
16.1	0.0000	8.409	
16.2	0.0000	8.414	
16.3	0.0000	8.414	
16.4	0.0000	8.404	
16.5	0.0000	8.414	
16.6	0.0000	8.394	
16.7	0.0000	8.409	
16.8	-0.0003	8.414	
16.9	-0.0003	8.399	
17.0	-0.0003	8.414	
17.1	0.0000	8.399	
17.2	0.0000	8.409	
17.3	0.0000	8.414	
17.4	0.0000	8.399	
17.5	0.0000	8.414	
17.6	-0.0003	8.414	
17.7	0.0000	8.399	
17.8	0.0000	8.414	
17.9	0.0000	8.419	
18.0	0.0000	8.409	
18.1	-0.0003	8.419	
18.2	-0.0003	8.414	
18.3	0.0000	8.414	
18.4	0.0000	8.419	
18.5	0.0000	8.409	
18.6	0.0000	8.419	
18.7	0.0000	8.419	
18.8	-0.0003	8.414	
18.9	0.0000	8.424	
19.0	-0.0003	8.424	
19.1	0.0000	8.419	
19.2	0.0000	8.434	
19.3	0.0000	8.419	
19.4	0.0000	8.424	
19.5	-0.0003	8.429	
19.6	0.0000	8.419	
19.7	0.0000	8.429	
19.8	0.0000	8.434	
19.9	0.0000	8.419	
20.0	0.0000	8.434	
20.1	-0.0003	8.434	
20.2	0.0000	8.434	
20.3	0.0000	8.434	
20.4	0.0000	8.424	
20.5	0.0000	8.434	
20.6	0.0000	8.438	
20.7	0.0000	8.434	
20.8	0.0000	8.443	
20.9	-0.0003	8.429	
21.0	-0.0003	8.443	
21.1	0.0000	8.448	
21.2	0.0000	8.438	
21.3	0.0000	8.448	
21.4	0.0000	8.438	
21.5	0.0000	8.453	
21.6	0.0000	8.453	
21.7	0.0000	8.443	
21.8	0.0000	8.458	
21.9	0.0000	8.438	
22.0	0.0000	8.453	
22.1	0.0000	8.453	
22.2	0.0000	8.448	
22.3	0.0000	8.453	
22.4	0.0000	8.453	
22.5	0.0000	8.463	
22.6	-0.0003	8.453	
22.7	-0.0003	8.458	
22.8	0.0000	8.458	
22.9	0.0000	8.458	
23.0	-0.0003	8.468	
23.1	-0.0003	8.453	
23.2	0.0000	8.463	
23.3	-0.0003	8.468	
23.4	0.0000	8.458	
23.5	0.0000	8.468	
23.6	0.0000	8.453	
23.7	0.0000	8.468	
23.8	0.0000	8.468	
23.9	-0.0003	8.463	
24.0	0.0000	8.473	
24.1	0.0000	8.463	
24.2	0.0000	8.473	
24.3	0.0000	8.477	
24.4	-0.0003	8.473	
24.5	0.0000	8.473	
24.6	-0.0003	8.463	
24.7	0.0000	8.477	
24.8	0.0000	8.473	
24.9	0.0000	8.473	
25.0	0.0000	8.482	
25.1	0.0000	8.468	
25.2	0.0000	8.482	
25.3	-0.0003	8.473	
25.4	-0.0003	8.477	
25.5	0.0000	8.482	
25.6	-0.0003	8.477	
25.7	-0.0003	8.487	
25.8	0.0000	8.473	
25.9	-0.0003	8.487	
26.0	-0.0003	8.482	
26.1	-0.0003	8.487	
26.2	-0.0003	8.492	
26.3	0.0000	8.482	
26.4	0.0000	8.487	
26.5	0.0000	8.477	
26.6	0.0000	8.492	
26.7	-0.0003	8.477	
26.8	-0.0003	8.487	
26.9	0.0000	8.492	
27.0	0.0000	8.487	
27.1	0.0000	8.497	
27.2	0.0000	8.487	
27.3	0.0000	8.492	
27.4	-0.0003	8.492	
27.5	-0.0003	8.492	
27.6	0.0000	8.497	
27.7	-0.0003	8.492	
27.8	-0.0003	8.507	
27.9	0.0000	8.492	
28.0	0.0000	8.502	
28.1	-0.0003	8.492	
28.2	0.0000	8.497	
28.3	0.0000	8.502	
28.4	-0.0003	8.497	
28.5	-0.0003	8.502	
28.6	0.0000	8.502	
28.7	-0.0003	8.502	
28.8	0.0000	8.492	
28.9	0.0000	8.512	
29.0	0.0000	8.497	
29.1	0.0000	8.507	
29.2	-0.0003	8.507	
29.3	0.0000	8.502	
29.4	0.0000	8.507	
29.5	0.0000	8.497	
29.6	0.0000	8.517	
29.7	0.0000	8.492	
29.8	0.0000	8.512	
29.9	-0.0003	8.512	
30.0	0.0000	8.507	
30.1	0.0000	8.507	
30.2	0.0000	8.502	
30.3	0.0000	8.517	
30.4	0.0000	8.507	
30.5	0.0000	8.512	
30.6	0.0000	8.512	
30.7	0.0000	8.512	
30.8	-0.0003	8.517	
30.9	0.0000	8.502	
31.0	0.0000	8.521	
31.1	0.0000	8.507	
31.2	0.0000	8.517	
31.3	-0.0003	8.502	
31.4	0.0000	8.517	
31.5	-0.0003	8.517	
31.6	-0.0003	8.517	
31.7	0.0000	8.517	
31.8	0.0000	8.512	
31.9	0.0000	8.517	
32.0	0.0000	8.517	
32.1	0.0000	8.521	
32.2	-0.0003	8.512	
32.3	0.0000	8.521	
32.4	0.0000	8.512	
32.5	0.0000	8.526	
32.6	0.0000	8.512	
32.7	0.0000	8.526	
32.8	-0.0003	8.512	
32.9	0.0000	8.526	
33.0	-0.0003	8.512	
33.1	0.0000	8.531	
33.2	0.0000	8.517	
33.3	0.0000	8.526	
33.4	-0.0003	8.517	
33.5	0.0000	8.526	
33.6	0.0000	8.526	
33.7	0.0000	8.526	
33.8	0.0000	8.531	
33.9	0.0000	8.531	
34.0	0.0000	8.531	
34.1	0.0000	8.526	
34.2	0.0000	8.526	
34.3	-0.0003	8.531	
34.4	-0.0003	8.526	
34.5	-0.0003	8.531	
34.6	-0.0003	8.517	
34.7	-0.0003	8.531	
34.8	-0.0003	8.526	
34.9	-0.0003	8.536	
35.0	0.0000	8.517	
35.1	0.0000	8.536	
35.2	0.0000	8.526	
35.3	-0.0003	8.536	
35.4	0.0000	8.521	
35.5	0.0000	8.536	
35.6	0.0000	8.526	
35.7	0.0000	8.536	
35.8	0.0000	8.531	
35.9	0.0000	8.531	
36.0	0.0000	8.531	
36.1	0.0000	8.536	
36.2	0.0000	8.531	
36.3	-0.0003	8.541	
36.4	-0.0003	8.536	
36.5	-0.0003	8.541	
36.6	0.0000	8.541	
36.7	-0.0003	8.531	
36.8	0.0000	8.541	
36.9	-0.0003	8.536	
37.0	0.0000	8.541	
37.1	-0.0003	8.531	
37.2	0.0000	8.541	
37.3	-0.0003	8.531	
37.4	0.0000	8.541	
37.5	-0.0003	8.531	
37.6	0.0000	8.541	
37.7	-0.0003	8.531	
37.8	0.0000	8.546	
37.9	0.0000	8.531	
38.0	-0.0003	8.546	
38.1	0.0000	8.536	
38.2	0.0000	8.541	
38.3	0.0000	8.536	
38.4	-0.0003	8.541	
38.5	0.0000	8.541	
38.6	-0.0003	8.541	
38.7	0.0000	8.541	
38.8	0.0000	8.546	
38.9	0.0000	8.546	
39.0	0.0000	8.541	
39.1	-0.0003	8.551	
39.2	0.0000	8.541	
39.3	-0.0003	8.551	
39.4	-0.0003	8.536	
39.5	0.0000	8.551	
39.6	0.0000	8.536	
39.7	-0.0003	8.551	
39.8	0.0000	8.541	
39.9	0.0000	8.551	
40.0	-0.0003	8.551	
40.1	-0.0003	8.546	
40.2	0.0000	8.551	
40.3	-0.0003	8.536	
40.4	0.0000	8.551	
40.5	0.0000	8.541	
40.6	0.0000	8.556	
40.7	0.0000	8.546	
40.8	0.0000	8.551	
40.9	-0.0003	8.551	
41.0	-0.0003	8.551	
41.1	0.0000	8.556	
