Vernier Format 2
pol313.txt 4/19/2022 16:32:21
Run 1
Time	Current	Potential	Potential	
T	C	P	P	
s	A	V	V	

0.0	0.0007	1.456	1.532	
0.1	0.0001	1.465	1.537	
0.2	0.0001	1.465	1.537	
0.3	0.0001	1.461	1.537	
0.4	-0.0002	1.456	1.532	
0.5	0.0001	1.456	1.527	
0.6	0.0001	1.461	1.527	
0.7	-0.0002	1.461	1.527	
0.8	0.0001	1.465	1.532	
0.9	0.0001	1.465	1.532	
1.0	0.0001	1.461	1.537	
1.1	0.0001	1.461	1.537	
1.2	-0.0002	1.451	1.537	
1.3	0.0001	1.456	1.527	
1.4	0.0001	1.461	1.527	
1.5	0.0001	1.471	1.532	
1.6	-0.0002	1.465	1.542	
1.7	0.0001	1.465	1.537	
1.8	0.0001	1.451	1.537	
1.9	0.0001	1.456	1.527	
2.0	-0.0002	1.461	1.532	
2.1	-0.0002	1.465	1.532	
2.2	0.0001	1.465	1.542	
2.3	0.0001	1.461	1.532	
2.4	0.0001	1.451	1.532	
2.5	0.0001	1.461	1.523	
2.6	0.0001	1.461	1.527	
2.7	0.0001	1.465	1.532	
2.8	-0.0002	1.465	1.537	
2.9	0.0001	1.465	1.537	
3.0	-0.0002	1.451	1.537	
3.1	0.0001	1.456	1.527	
3.2	0.0001	1.456	1.527	
3.3	-0.0002	1.461	1.527	
3.4	0.0001	1.461	1.532	
3.5	0.0001	1.471	1.532	
3.6	0.0001	1.465	1.537	
3.7	0.0001	1.465	1.537	
3.8	-0.0002	1.461	1.532	
3.9	0.0001	1.451	1.537	
4.0	0.0001	1.456	1.532	
4.1	0.0001	1.456	1.523	
4.2	-0.0002	1.461	1.527	
4.3	-0.0002	1.461	1.532	
4.4	0.0001	1.461	1.532	
4.5	0.0001	1.471	1.537	
4.6	0.0001	1.465	1.532	
4.7	0.0001	1.461	1.537	
4.8	-0.0002	1.465	1.537	
4.9	0.0001	1.465	1.537	
5.0	-0.0002	1.461	1.537	
5.1	0.0063	1.397	1.537	
