Vernier Format 2
pol9.txt 3/8/2022 17:43:38
Run 1
Time	Potential	Current	
T	P	C	
s	V	A	

0.00	1.396	0.0007	
0.01	1.391	0.0001	
0.02	1.406	0.0001	
0.03	1.396	0.0001	
0.04	1.396	-0.0002	
0.05	1.406	0.0001	
0.06	1.396	0.0001	
0.07	1.401	0.0001	
0.08	1.406	0.0001	
0.09	1.396	-0.0002	
0.10	1.401	0.0001	
0.11	1.401	0.0001	
0.12	1.391	0.0001	
0.13	1.401	0.0001	
0.14	1.401	0.0001	
0.15	1.391	0.0001	
0.16	1.406	-0.0002	
0.17	1.396	0.0001	
0.18	1.396	0.0001	
0.19	1.406	0.0001	
0.20	1.396	0.0001	
0.21	1.401	0.0001	
0.22	1.406	0.0001	
0.23	1.391	0.0001	
0.24	1.401	0.0001	
0.25	1.396	0.0001	
0.26	1.386	0.0001	
0.27	1.406	0.0001	
0.28	1.401	0.0001	
0.29	1.391	-0.0002	
0.30	1.406	-0.0002	
0.31	1.396	0.0001	
0.32	1.396	-0.0002	
0.33	1.406	0.0001	
0.34	1.391	0.0001	
0.35	1.406	0.0001	
0.36	1.406	0.0001	
0.37	1.391	0.0001	
0.38	1.401	0.0001	
0.39	1.401	0.0001	
0.40	1.391	0.0001	
0.41	1.401	0.0001	
0.42	1.396	0.0001	
0.43	1.391	0.0001	
0.44	1.406	0.0001	
0.45	1.401	0.0001	
0.46	1.396	-0.0002	
0.47	1.406	0.0001	
0.48	1.396	0.0001	
0.49	1.401	0.0001	
0.50	1.406	0.0001	
0.51	1.391	0.0001	
0.52	1.406	0.0001	
0.53	1.406	0.0001	
0.54	1.391	0.0001	
0.55	1.401	-0.0002	
0.56	1.401	0.0001	
0.57	1.386	-0.0002	
0.58	1.406	0.0001	
0.59	1.401	0.0001	
0.60	1.396	-0.0002	
0.61	1.406	0.0001	
0.62	1.396	0.0001	
0.63	1.401	0.0001	
0.64	1.406	0.0001	
0.65	1.396	0.0001	
0.66	1.406	0.0001	
0.67	1.406	0.0001	
0.68	1.391	0.0001	
0.69	1.406	0.0001	
0.70	1.396	0.0001	
0.71	1.386	-0.0002	
0.72	1.401	-0.0002	
0.73	1.396	0.0001	
0.74	1.396	0.0001	
0.75	1.406	0.0001	
0.76	1.401	0.0001	
0.77	1.396	0.0001	
0.78	1.406	0.0001	
0.79	1.396	0.0001	
0.80	1.406	0.0001	
0.81	1.406	0.0001	
0.82	1.396	0.0001	
0.83	1.401	0.0001	
0.84	1.396	0.0001	
0.85	1.391	0.0001	
0.86	1.406	0.0001	
0.87	1.396	-0.0002	
0.88	1.391	-0.0002	
0.89	1.406	0.0001	
0.90	1.396	0.0001	
0.91	1.396	-0.0002	
0.92	1.406	0.0001	
0.93	1.396	-0.0002	
0.94	1.406	0.0001	
0.95	1.401	0.0001	
0.96	1.396	0.0001	
0.97	1.406	0.0001	
0.98	1.406	0.0001	
0.99	1.391	0.0001	
1.00	1.401	-0.0002	
1.01	1.396	0.0001	
1.02	1.391	-0.0002	
1.03	1.406	0.0001	
1.04	1.396	-0.0002	
1.05	1.396	-0.0002	
1.06	1.406	0.0001	
1.07	1.396	-0.0002	
1.08	1.406	0.0001	
1.09	1.406	0.0001	
1.10	1.391	0.0001	
1.11	1.401	0.0001	
1.12	1.401	0.0001	
1.13	1.391	0.0001	
1.14	1.406	0.0001	
1.15	1.406	0.0001	
1.16	1.391	0.0001	
1.17	1.406	0.0001	
1.18	1.396	0.0001	
1.19	1.396	-0.0002	
1.20	1.406	0.0001	
1.21	1.396	-0.0002	
1.22	1.406	-0.0002	
1.23	1.406	0.0001	
1.24	1.396	-0.0002	
1.25	1.406	0.0001	
1.26	1.401	0.0001	
1.27	1.396	0.0001	
1.28	1.406	0.0001	
1.29	1.401	0.0001	
1.30	1.391	0.0001	
1.31	1.401	0.0001	
1.32	1.396	0.0001	
1.33	1.391	0.0001	
1.34	1.406	0.0001	
1.35	1.396	-0.0002	
1.36	1.401	0.0001	
1.37	1.406	0.0001	
1.38	1.396	0.0001	
1.39	1.401	0.0001	
1.40	1.401	0.0001	
1.41	1.391	0.0001	
1.42	1.401	0.0001	
1.43	1.396	-0.0002	
1.44	1.391	-0.0002	
1.45	1.406	0.0001	
1.46	1.396	-0.0002	
1.47	1.396	-0.0002	
1.48	1.401	0.0001	
1.49	1.396	0.0001	
1.50	1.406	0.0001	
1.51	1.406	0.0001	
1.52	1.396	0.0001	
1.53	1.401	0.0001	
1.54	1.401	0.0001	
1.55	1.391	0.0001	
1.56	1.406	-0.0002	
1.57	1.396	0.0001	
1.58	1.396	0.0001	
1.59	1.401	0.0001	
1.60	1.396	0.0001	
1.61	1.396	-0.0002	
1.62	1.411	0.0001	
1.63	1.396	0.0001	
1.64	1.406	0.0001	
1.65	1.406	0.0001	
1.66	1.396	0.0001	
1.67	1.401	0.0001	
1.68	1.401	0.0001	
1.69	1.396	0.0001	
1.70	1.406	0.0001	
1.71	1.401	0.0001	
1.72	1.386	0.0001	
1.73	1.406	-0.0002	
1.74	1.401	0.0001	
1.75	1.391	-0.0002	
1.76	1.411	0.0001	
1.77	1.396	0.0001	
1.78	1.401	-0.0002	
1.79	1.406	0.0001	
1.80	1.391	0.0001	
1.81	1.406	0.0001	
1.82	1.406	0.0001	
1.83	1.391	0.0001	
1.84	1.401	0.0001	
1.85	1.396	0.0001	
1.86	1.391	0.0001	
1.87	1.396	0.0001	
1.88	1.396	0.0001	
1.89	1.391	0.0001	
1.90	1.406	0.0001	
1.91	1.396	-0.0002	
1.92	1.396	-0.0002	
1.93	1.406	0.0001	
1.94	1.396	0.0001	
1.95	1.401	0.0001	
1.96	1.406	0.0001	
1.97	1.396	-0.0002	
1.98	1.401	0.0001	
1.99	1.401	0.0001	
2.00	1.391	0.0001	
2.01	1.401	0.0001	
2.02	1.401	0.0001	
2.03	1.391	0.0001	
2.04	1.406	0.0001	
2.05	1.396	0.0001	
2.06	1.391	-0.0002	
2.07	1.406	0.0001	
2.08	1.396	0.0001	
2.09	1.396	0.0001	
2.10	1.406	0.0001	
2.11	1.396	0.0001	
2.12	1.401	0.0001	
2.13	1.406	0.0001	
2.14	1.391	0.0001	
2.15	1.401	0.0001	
2.16	1.401	0.0001	
2.17	1.391	0.0001	
2.18	1.406	-0.0002	
2.19	1.396	0.0001	
2.20	1.391	0.0001	
2.21	1.406	0.0001	
2.22	1.396	0.0001	
2.23	1.401	-0.0002	
2.24	1.406	0.0001	
2.25	1.396	0.0001	
2.26	1.401	0.0001	
2.27	1.406	0.0001	
2.28	1.391	0.0001	
2.29	1.406	0.0001	
2.30	1.401	0.0001	
2.31	1.386	0.0001	
2.32	1.401	0.0001	
2.33	1.401	-0.0002	
2.34	1.391	0.0001	
2.35	1.406	0.0001	
2.36	1.396	0.0001	
2.37	1.396	0.0001	
2.38	1.406	0.0001	
2.39	1.396	0.0001	
2.40	1.401	-0.0002	
2.41	1.406	0.0001	
2.42	1.396	0.0001	
2.43	1.406	0.0001	
2.44	1.401	0.0001	
2.45	1.391	0.0001	
2.46	1.406	0.0001	
2.47	1.401	0.0001	
2.48	1.391	0.0001	
2.49	1.406	-0.0002	
2.50	1.396	0.0001	
2.51	1.391	-0.0002	
2.52	1.406	0.0001	
2.53	1.396	0.0001	
2.54	1.396	0.0001	
2.55	1.406	0.0001	
2.56	1.396	0.0001	
2.57	1.406	0.0001	
2.58	1.401	0.0001	
2.59	1.391	0.0001	
2.60	1.406	0.0001	
2.61	1.406	0.0001	
2.62	1.391	0.0001	
2.63	1.401	0.0001	
2.64	1.401	0.0001	
2.65	1.391	0.0001	
2.66	1.406	0.0001	
2.67	1.396	0.0001	
2.68	1.396	0.0001	
2.69	1.406	0.0001	
2.70	1.396	0.0001	
2.71	1.401	0.0001	
2.72	1.401	0.0001	
2.73	1.396	0.0001	
2.74	1.401	0.0001	
2.75	1.406	0.0001	
2.76	1.391	0.0001	
2.77	1.406	0.0001	
2.78	1.396	0.0001	
2.79	1.391	0.0001	
2.80	1.401	-0.0002	
2.81	1.396	0.0001	
2.82	1.391	0.0001	
2.83	1.406	0.0001	
2.84	1.396	0.0001	
2.85	1.396	0.0001	
2.86	1.406	0.0001	
2.87	1.396	0.0001	
2.88	1.401	0.0001	
2.89	1.406	0.0001	
2.90	1.396	0.0001	
2.91	1.401	0.0001	
2.92	1.406	0.0001	
2.93	1.391	0.0001	
2.94	1.396	0.0001	
2.95	1.401	-0.0002	
2.96	1.391	0.0001	
2.97	1.406	-0.0002	
2.98	1.396	0.0001	
2.99	1.391	0.0001	
3.00	1.406	0.0001	
3.01	1.396	-0.0002	
3.02	1.396	-0.0002	
3.03	1.411	0.0001	
3.04	1.396	0.0001	
3.05	1.401	0.0001	
3.06	1.396	0.0001	
3.07	1.391	0.0001	
3.08	1.401	0.0001	
3.09	1.406	0.0001	
3.10	1.391	0.0001	
3.11	1.406	0.0001	
3.12	1.401	0.0001	
3.13	1.386	0.0001	
3.14	1.406	0.0001	
3.15	1.396	0.0001	
3.16	1.391	-0.0002	
3.17	1.406	0.0001	
3.18	1.396	0.0001	
3.19	1.401	0.0001	
3.20	1.406	0.0001	
3.21	1.396	0.0001	
3.22	1.406	0.0001	
3.23	1.406	0.0001	
3.24	1.391	0.0001	
3.25	1.401	0.0001	
3.26	1.401	0.0001	
3.27	1.396	0.0001	
3.28	1.401	-0.0002	
3.29	1.401	0.0001	
3.30	1.391	0.0001	
3.31	1.401	0.0001	
3.32	1.396	0.0001	
3.33	1.396	0.0001	
3.34	1.406	0.0001	
3.35	1.396	-0.0002	
3.36	1.401	0.0001	
3.37	1.401	0.0001	
3.38	1.396	0.0001	
3.39	1.406	0.0001	
3.40	1.401	0.0001	
3.41	1.396	0.0001	
3.42	1.406	-0.0002	
3.43	1.396	0.0001	
3.44	1.391	0.0001	
3.45	1.406	-0.0002	
3.46	1.396	0.0001	
3.47	1.396	0.0001	
3.48	1.406	0.0001	
3.49	1.396	0.0001	
3.50	1.401	0.0001	
3.51	1.406	0.0001	
3.52	1.396	0.0001	
3.53	1.406	0.0001	
3.54	1.406	0.0001	
3.55	1.396	0.0001	
3.56	1.401	0.0001	
3.57	1.406	0.0001	
3.58	1.391	-0.0002	
3.59	1.401	-0.0002	
3.60	1.401	0.0001	
3.61	1.396	-0.0002	
3.62	1.406	0.0001	
3.63	1.396	0.0001	
3.64	1.396	0.0001	
3.65	1.406	0.0001	
3.66	1.391	0.0001	
3.67	1.406	0.0001	
3.68	1.401	0.0001	
3.69	1.396	0.0001	
3.70	1.401	0.0001	
3.71	1.401	0.0001	
3.72	1.386	-0.0002	
3.73	1.406	-0.0002	
3.74	1.396	0.0001	
3.75	1.396	-0.0002	
3.76	1.406	0.0001	
3.77	1.396	0.0001	
3.78	1.401	0.0001	
3.79	1.401	0.0001	
3.80	1.396	0.0001	
3.81	1.406	0.0001	
3.82	1.401	0.0001	
3.83	1.391	0.0001	
3.84	1.406	-0.0002	
3.85	1.401	0.0001	
